DATAFLOW,LAST UPDATE,freq,currency,estruct,ecase,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2000,2415.57,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2001,2463.51,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2002,2488.78,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2003,2498.85,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2004,2498.82,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2005,2456.31,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2006,2852.7,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2007,2854.02,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2008,2745.65,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2009,2486.09,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2010,2830.99,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2011,2990.1,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2012,3101.99,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2013,3120.85,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2014,2967.52,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2015,2886.62,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2016,2851.44,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2017,2802.25,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2018,3021.94,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2019,3003.09,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2020,3032.96,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2021,3134.09,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2022,2991.65,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2023,2770.32,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2024,2781.54,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2000,2415.57,,
