Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Sweden,SWE,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,99.72,..,..,99.74,..,..,..,99.69,..,..,..
Sweden,SWE,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,99.76,..,..,100,..,..,..,100,..,..,..
Sweden,SWE,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,99.68,..,..,99.48,..,..,..,99.39,..,..,..
Sweden,SWE,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,100,..,..,99.85,..,..,..,99.65,..,..,..
Sweden,SWE,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,99.34,..,..,99.67,..,..,..,99.22,..,..,..
Sweden,SWE,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,100,..,..,96.85,..,..,..,100,..,..,..
Sweden,SWE,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,100,..,..,99.79,..,..,..,100,..,..,..
Sweden,SWE,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,99.83,..,..,100,..,..,..,99.67,..,..,..
Sweden,SWE,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,98.62,..,..,99.09,..,..,..,100,..,..,..
Sweden,SWE,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.68755378807455,3.56730140130463,1.83563575934986,3.33580880427893,1.20283581015448,3.49744493750028,-1.98195455366483,4.53265085047299,..,..,..
Sweden,SWE,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,410385742753.028,425025439105.011,432827358051.556,447265651168.768,452645522587.547,468476550502.106,459191558176.578,480005108243.569,..,..,..
Sweden,SWE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,495514182187.217,425025439105.011,432747589460.25,459032738907.882,470799099793.76,458007910571.367,469238771521.351,539858010828.979,..,..,..
Sweden,SWE,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.67370573852827,2.47789426491178,0.564122572175947,1.95275442836005,0.034019856694826,2.4535682406356,-2.68778121288132,3.90671813136998,..,..,..
