DATAFLOW,LAST UPDATE,freq,currency,estruct,ecase,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2014,2967.52,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2015,2886.62,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2016,2851.44,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2017,2802.25,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2018,3021.94,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2019,3003.09,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2020,3032.96,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2021,3134.09,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2022,2991.65,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2023,2770.32,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,One-earner couple with two children earning 100% of the average earning,2024,2781.54,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2014,2967.52,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2015,2886.62,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2016,2851.44,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2017,2802.25,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2018,3021.94,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2019,3003.09,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2020,3032.96,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2021,3134.09,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2022,2991.65,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2023,2770.32,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, both earning 100% of the average earning",2024,2781.54,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2014,2967.52,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2015,2886.62,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2016,2851.44,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2017,2802.25,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2018,3021.94,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2019,3003.09,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2020,3032.96,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2021,3134.09,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2014,2967.52,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2015,2886.62,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2016,2851.44,,
