Year ,Month ,Food Item ,Unit of Measurement,Average Price ,Currency ,Price in USD,Availability ,Quality 
2018,1,Bread,Loaf,18.61,Kr,1.82,1,High
2018,2,Bread,Loaf,18.66,Kr,1.83,1,High
2018,3,Bread,Loaf,18.71,Kr,1.83,1,High
2018,4,Bread,Loaf,18.76,Kr,1.84,1,High
2018,5,Bread,Loaf,18.81,Kr,1.84,1,High
2018,6,Bread,Loaf,18.86,Kr,1.85,1,High
2018,7,Bread,Loaf,18.91,Kr,1.85,1,High
2018,8,Bread,Loaf,18.96,Kr,1.86,1,High
2018,9,Bread,Loaf,19.01,Kr,1.86,1,High
2018,10,Bread,Loaf,19.06,Kr,1.87,1,High
2018,11,Bread,Loaf,19.11,Kr,1.87,1,High
2018,12,Bread,Loaf,19.16,Kr,1.88,1,High
2019,1,Bread,Loaf,19.21,Kr,1.88,1,High
2019,2,Bread,Loaf,19.36,Kr,1.9,1,High
2019,3,Bread,Loaf,19.51,Kr,1.91,1,High
2019,4,Bread,Loaf,19.66,Kr,1.93,1,High
2019,5,Bread,Loaf,19.81,Kr,1.94,1,High
2019,6,Bread,Loaf,19.96,Kr,1.96,1,High
2019,7,Bread,Loaf,20.11,Kr,1.97,1,High
2019,8,Bread,Loaf,20.26,Kr,1.99,1,High
2019,9,Bread,Loaf,20.41,Kr,2.0,1,High
2019,10,Bread,Loaf,20.56,Kr,2.01,1,High
2019,11,Bread,Loaf,20.71,Kr,2.03,1,High
2019,12,Bread,Loaf,20.86,Kr,2.04,1,High
2020,1,Bread,Loaf,21.01,Kr,2.06,1,High
2020,2,Bread,Loaf,21.02,Kr,2.06,1,High
2020,3,Bread,Loaf,21.03,Kr,2.06,1,High
2020,4,Bread,Loaf,21.04,Kr,2.06,1,High
2020,5,Bread,Loaf,21.05,Kr,2.06,1,High
2020,6,Bread,Loaf,21.06,Kr,2.06,1,High
2020,7,Bread,Loaf,21.07,Kr,2.06,1,High
2020,8,Bread,Loaf,21.08,Kr,2.07,1,High
2020,9,Bread,Loaf,21.09,Kr,2.07,1,High
2020,10,Bread,Loaf,21.1,Kr,2.07,1,High
2020,11,Bread,Loaf,21.11,Kr,2.07,1,High
2020,12,Bread,Loaf,21.12,Kr,2.07,1,High
2021,1,Bread,Loaf,21.13,Kr,2.07,1,High
2021,2,Bread,Loaf,21.3,Kr,2.09,1,High
2021,3,Bread,Loaf,21.47,Kr,2.1,1,High
2021,4,Bread,Loaf,21.64,Kr,2.12,1,High
2021,5,Bread,Loaf,21.81,Kr,2.14,1,High
2021,6,Bread,Loaf,21.98,Kr,2.15,1,High
2021,7,Bread,Loaf,22.15,Kr,2.17,1,High
